NO,TRS_TYPE,NOCUST,NAMAOUTLET,ALAMATOUTLET,KOTA,CABANG,KODE_SEKTORAL,NO_INVC,TGL_INVC,KODEBARANG,NAMABARANG,KEMASAN,QTYSALES,QTYBONUS,VALUEHNA,SPEC_DISC,DISC_DBM,SALES_DISC,CASH1_DISC,VALUE_NET_SALES,EXP_DATE,BATCH_NUM,Month,NAMASALESMAN
294,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000486,12/01/2022,CCM008,NATURALLE VIT E 250IU (BTL/30S),BTL,1,0,82000,30,0,0,0,57400,45078,2007262,1,AZIS SYAHPUTRA (AP&RS)
295,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000486,12/01/2022,CCM008,NATURALLE VIT E 250IU (BTL/30S),BTL,23,0,1886000,30,0,0,0,1320200,45413,2106370,1,AZIS SYAHPUTRA (AP&RS)
296,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000486,12/01/2022,CCM010,NATURALLE FISH OIL 1000MG (BTL/60S),BTL,12,0,2208000,27.5,0,0,0,1600800,45444,2107161,1,AZIS SYAHPUTRA (AP&RS)
297,SALES,0,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000486,12/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,12,0,1140000,30,0,0,0,798000,45139,2009092,1,AZIS SYAHPUTRA (AP&RS)
298,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000486,12/01/2022,CCM014,NATURALLE TONGKAT ALI PLUS (BTL/60),BTL,6,0,666000,10,0,0,0,599400,45261,2101299,1,AZIS SYAHPUTRA (AP&RS)
299,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000486,12/01/2022,CCM015,NATURALLE KACIP FATIMAH PLUS (BTL/60),BTL,5,0,400000,10,0,0,0,360000,45261,2101298,1,AZIS SYAHPUTRA (AP&RS)
300,SALES,1407000,SAUDARA JAYA.Ap,JL. MARGA SILIMA NO. 49,SIDIKALANG,DBM Medan,AAPR,MDA-SPJ-22000486,12/01/2022,CCM016,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),BTL,25,0,2350000,7,0,0,0,2185500,45413,2106335,1,AZIS SYAHPUTRA (AP&RS)
301,SALES,1400649,GANDA.Ap,JL. KARYA JAYA NO.5,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000516,13/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,3,0,84000,10,0,0,0,75600,45444,2107236,1,FITRI HANDAYANI
302,SALES,14000964,BINTANG FARMA. CV,JL. HOS COKROMINOTO NO. 55,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22000561,13/01/2022,CCM010,NATURALLE FISH OIL 1000MG (BTL/60S),BTL,36,0,6624000,27.5,0,0,0,4802400,45444,2107161,1,IRPAN GUNAWAN (AP & RS)
303,SALES,14000964,BINTANG FARMA. CV,JL. HOS COKROMINOTO NO. 55,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22000562,13/01/2022,CCM007,NATURALLE BETA CAROTENE 6MG (BTL/30S),BTL,54,0,3348000,30,0,0,0,2343600,45413,2106375,1,IRPAN GUNAWAN (AP & RS)
304,SALES,14000964,BINTANG FARMA. CV,JL. HOS COKROMINOTO NO. 55,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22000562,13/01/2022,CCM014,NATURALLE TONGKAT ALI PLUS (BTL/60),BTL,4,0,444000,10,0,0,0,399600,45261,2101299,1,IRPAN GUNAWAN (AP & RS)
305,SALES,1409277,SUMBER SEGAR LESTARI.CV (BRASTAGI RANTAU),JL. JEND. AHMAD YANI NO. 10,RANTAU PRAPAT,DBM Medan,BMSM,MDA-SPJ-22000621,14/01/2022,CCM008,NATURALLE VIT E 250IU (BTL/30S),BTL,3,0,246000,15,0,0,0,209100,45413,2106370,1,FRANS (ALL SEKTOR)
306,SALES,1409277,SUMBER SEGAR LESTARI.CV (BRASTAGI RANTAU),JL. JEND. AHMAD YANI NO. 10,RANTAU PRAPAT,DBM Medan,BMSM,MDA-SPJ-22000621,14/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,3,0,285000,15,0,0,0,242250,45139,2009092,1,FRANS (ALL SEKTOR)
307,SALES,14000925,BONA 1. AP,JL.JAMIN GINTING NO.128,,DBM Medan,AAPR,MDA-SPJ-22000769,14/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,12,0,1128000,8,0,0,0,1037760,45474,2108157,1,FITRI HANDAYANI
308,SALES,14000384,DEBY CYNTIA.Bidan,JL. GARU NO. 99,MEDAN,DBM Medan,AKLN,MDA-SPJ-22000838,15/01/2022,CCM016,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),BTL,1,0,94000,0,0,0,0,94000,45413,2106335,1,FITRI HANDAYANI
309,SALES,14000968,PT. KALIMAS GLOBAL ASIA,JL.SETIA BUDI NO 133,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000854,15/01/2022,CCM010,NATURALLE FISH OIL 1000MG (BTL/60S),BTL,36,0,6624000,27.5,0,0,0,4802400,45444,2107161,1,HERIADI (AP & RS)
310,SALES,1411091,BRAYAN.AP,JL. PUTRI HIJAU NO. 181 B BRAYAN,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000866,15/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,2,0,188000,0,0,0,1,186120,45474,2108157,1,FITRI HANDAYANI
311,RETUR,1411005,KASIH.Ap,JL. NARUMONDA BAWAH NO. 123 C TOMUAN,P. SIANTAR,DBM Medan,AAPR,MDA-RPJ-22000087,17/01/2022,CCM004,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),BTL,-4,0,-146000,10,0,10,0,-111780,45261,2101225,1,BUDIONO (ALL SEKTOR)
312,SALES,1407917,RAYA III.Ap,JL. KELAMBIR LIMA NO. 150 TJ. GUSTA,MEDAN,DBM Medan,AAPR,MDA-SPJ-22000958,17/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,1,0,94000,0,0,0,0,94000,45474,2108157,1,FITRI HANDAYANI
313,SALES,1409858,SINAR BINTANG.Ap,JL. JEND. SUDIRMAN NO. 58 PEMATANG RAYA SIMALUNGUN,P. SIANTAR,DBM Medan,AAPR,MDA-SPJ-22000993,17/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,7,0,658000,5,0,0,0,625100,45474,2108157,1,BUDIONO (ALL SEKTOR)
314,SALES,1409858,SINAR BINTANG.Ap,JL. JEND. SUDIRMAN NO. 58 PEMATANG RAYA SIMALUNGUN,P. SIANTAR,DBM Medan,AAPR,MDA-SPJ-22000993,17/01/2022,CCM014,NATURALLE TONGKAT ALI PLUS (BTL/60),BTL,4,0,444000,20,0,0,0,355200,45261,2101299,1,BUDIONO (ALL SEKTOR)
315,RETUR,1411177,BONA 1.Ap,JL. JAMIN GINTING NO. 128 / 130,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000153,18/01/2022,CCM009,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),BTL,-1,0,-112000,15,0,10,0,-85680,44562,1901038,1,"MUHAMMAD HAIRUL (TSE DUO MDN)"
316,RETUR,1411177,BONA 1.Ap,JL. JAMIN GINTING NO. 128 / 130,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000154,18/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,-6,0,-570000,15,0,10,0,-4078841076,44621,1903134,1,"MUHAMMAD HAIRUL (TSE DUO MDN)"
317,RETUR,1411177,BONA 1.Ap,JL. JAMIN GINTING NO. 128 / 130,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000155,18/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,-2,0,-190000,15,0,10,0,-1359613692,44621,1903134,1,"MUHAMMAD HAIRUL (TSE DUO MDN)"
318,RETUR,1405700,BALI.TO,JL. PSR.RAMAI NO. 14 KOMP. P. RAMAI,MEDAN,DBM Medan,ATOB,MDA-RPJ-22000160,18/01/2022,CCM008,NATURALLE VIT E 250IU (BTL/30S),BTL,-16,0,-1221818.24,30,0,10,0,-7697454912,44562,1901438,1,"MUHAMMAD HAIRUL (TSE DUO MDN)"
319,SALES,14000660,dr. Silvia Karlia. Prtk.,Jl.LIMAU MANIS PSR XIII SEBELAH ALFAMART,TANJUNG MORAWA,DBM Medan,AKLN,MDA-SPJ-22001178,19/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,1,0,94000,0,0,0,1,93060,45474,2108157,1,FITRI HANDAYANI
320,SALES,14000013,GABE REJEKI.Ap,JL. B. ZEIN HAMID NO. 61 MEDAN JOHOR,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001183,19/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,1,0,94000,0,0,0,0,94000,45474,2108157,1,FITRI HANDAYANI
321,SALES,1409838,KARYA RAYA.Ap,JL. KARYA JAYA NO. 187 C,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001209,19/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,4,0,376000,3,0,0,0,364720,45474,2108157,1,FITRI HANDAYANI
322,RETUR,14000739,BIOS JAYA .AP,JL.SETIA BUDI PASAR IV NO.236,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000202,20/01/2022,CCM004,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),BTL,-1,0,-34500,0,0,0,0,-34500,45474,2108052,1,HERIADI (AP & RS)
323,RETUR,14000739,BIOS JAYA .AP,JL.SETIA BUDI PASAR IV NO.236,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000202,20/01/2022,CCM016,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),BTL,-1,0,-85000,0,0,0,0,-85000,45413,2106335,1,HERIADI (AP & RS)
324,RETUR,1402339,KALIMAS.Ap,JL. SETIA BUDI NO.133,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000209,20/01/2022,CCM009,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),BTL,-7,0,-784000,30,0,10,0,-4610454345,44593,1902139,1,HERIADI (AP & RS)
325,SALES,14000964,BINTANG FARMA. CV,JL. HOS COKROMINOTO NO. 55,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22001286,20/01/2022,CCM004,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),BTL,24,0,876000,20,0,0,0,700800,45474,2108052,1,IRPAN GUNAWAN (AP & RS)
326,SALES,14000964,BINTANG FARMA. CV,JL. HOS COKROMINOTO NO. 55,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22001331,20/01/2022,CCM007,NATURALLE BETA CAROTENE 6MG (BTL/30S),BTL,18,0,1116000,30,0,0,0,781200,45413,2106375,1,IRPAN GUNAWAN (AP & RS)
327,SALES,1407608,RIDHO.Ap,JL. BESAR TEMBUNG NO.7 B TEMBUNG,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001356,20/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,1,0,94000,0,0,0,0,94000,45474,2108157,1,FITRI HANDAYANI
328,SALES,14000968,PT. KALIMAS GLOBAL ASIA,JL.SETIA BUDI NO 133,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001393,20/01/2022,CCM008,NATURALLE VIT E 250IU (BTL/30S),BTL,36,0,2952000,30,0,0,0,2066400,45413,2106370,1,HERIADI (AP & RS)
329,SALES,14000964,BINTANG FARMA. CV,JL. HOS COKROMINOTO NO. 55,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22001423,21/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,24,0,672000,20,0,0,0,537600,45444,2107236,1,IRPAN GUNAWAN (AP & RS)
330,SALES,1405861,TERANG FARMA.Ap,JL.MEDAN - BT. KUIS NO. 1004 DUSUN XI EMPLASMEN DE,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001427,21/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,1,0,94000,0,0,0,0,94000,45474,2108157,1,FITRI HANDAYANI
331,SALES,1405861,TERANG FARMA.Ap,JL.MEDAN - BT. KUIS NO. 1004 DUSUN XI EMPLASMEN DE,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001427,21/01/2022,CCM010,NATURALLE FISH OIL 1000MG (BTL/60S),BTL,1,0,184000,15,0,0,0,156400,45444,2107161,1,FITRI HANDAYANI
332,SALES,14000964,BINTANG FARMA. CV,JL. HOS COKROMINOTO NO. 55,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22001501,22/01/2022,CCM008,NATURALLE VIT E 250IU (BTL/30S),BTL,30,0,2460000,30,0,0,0,1722000,45413,2106370,1,IRPAN GUNAWAN (AP & RS)
333,SALES,14000964,BINTANG FARMA. CV,JL. HOS COKROMINOTO NO. 55,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22001501,22/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,24,0,2280000,30,0,0,0,1596000,45139,2009092,1,IRPAN GUNAWAN (AP & RS)
334,SALES,1406974,ANUGRAH PERSADA.Ap,DUSUN IV JL. JAMIN GINTING NO. 2 A SIMP. TUNTUNGAN,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001539,22/01/2022,CCM010,NATURALLE FISH OIL 1000MG (BTL/60S),BTL,2,0,368000,15,0,0,0,312800,45444,2107161,1,FITRI HANDAYANI
335,SALES,1400099,AGUNG.TO,JL BRIGJEND KATAMSO NO 156-A,MEDAN,DBM Medan,ATOB,MDA-SPJ-22001561,24/01/2022,CCM007,NATURALLE BETA CAROTENE 6MG (BTL/30S),BTL,24,0,1488000,30,0,0,0,1041600,45413,2106375,1,FITRI HANDAYANI
336,SALES,1400099,AGUNG.TO,JL BRIGJEND KATAMSO NO 156-A,MEDAN,DBM Medan,ATOB,MDA-SPJ-22001561,24/01/2022,CCM008,NATURALLE VIT E 250IU (BTL/30S),BTL,36,0,2952000,30,0,0,0,2066400,45413,2106370,1,FITRI HANDAYANI
337,SALES,1400099,AGUNG.TO,JL BRIGJEND KATAMSO NO 156-A,MEDAN,DBM Medan,ATOB,MDA-SPJ-22001561,24/01/2022,CCM010,NATURALLE FISH OIL 1000MG (BTL/60S),BTL,36,0,6624000,27.5,0,0,0,4802400,45444,2107161,1,FITRI HANDAYANI
338,SALES,14000968,PT. KALIMAS GLOBAL ASIA,JL.SETIA BUDI NO 133,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001590,24/01/2022,CCM010,NATURALLE FISH OIL 1000MG (BTL/60S),BTL,36,0,6624000,27.5,0,0,0,4802400,45444,2107161,1,HERIADI (AP & RS)
339,SALES,1400642,SOLO BARU.TO,PSR RAMAI NO.13-14,MEDAN,DBM Medan,ATOB,MDA-SPJ-22001624,24/01/2022,CCM014,NATURALLE TONGKAT ALI PLUS (BTL/60),BTL,4,0,444000,10,0,0,0,399600,45261,2101299,1,FITRI HANDAYANI
340,RETUR,1405422,JEMADI.Ap,JL. JEMADI NO. 8-A,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000292,25/01/2022,CCM004,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),BTL,-1,0,-34500,0,0,0,0,-34500,45474,2108052,1,AZIS SYAHPUTRA (AP&RS)
341,RETUR,1405422,JEMADI.Ap,JL. JEMADI NO. 8-A,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000292,25/01/2022,CCM016,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),BTL,-1,0,-85000,0,0,0,0,-85000,45413,2106335,1,AZIS SYAHPUTRA (AP&RS)
342,RETUR,1409800,MEKA.Ap,JL. STM PERUM CRYSANT PARK NO. 3,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000299,25/01/2022,CCM004,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),BTL,-1,0,-34500,0,0,0,0,-34500,45474,2108052,1,IRPAN GUNAWAN (AP & RS)
343,RETUR,1409800,MEKA.Ap,JL. STM PERUM CRYSANT PARK NO. 3,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000299,25/01/2022,CCM016,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),BTL,-1,0,-85000,0,0,0,0,-85000,45413,2106335,1,IRPAN GUNAWAN (AP & RS)
344,SALES,14000964,BINTANG FARMA. CV,JL. HOS COKROMINOTO NO. 55,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22001783,25/01/2022,CCM004,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),BTL,24,0,876000,20,0,0,0,700800,45474,2108052,1,IRPAN GUNAWAN (AP & RS)
345,SALES,1400320,VITA SARI.Ap,JL KAPT BANGSI SEMBIRING NO 11,KABAN JAHE,DBM Medan,AAPR,MDA-SPJ-22001784,25/01/2022,CCM007,NATURALLE BETA CAROTENE 6MG (BTL/30S),BTL,24,0,1488000,30,0,0,0,1041600,45413,2106375,1,AZIS SYAHPUTRA (AP&RS)
346,SALES,1402687,KELUARGA.Ap,JL. KH DAHLAN NO 65,LUBUK PAKAM,DBM Medan,AAPR,MDA-SPJ-22001790,25/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,1,0,95000,15,0,0,0,80750,45139,2009092,1,FITRI HANDAYANI
347,SALES,1400320,VITA SARI.Ap,JL KAPT BANGSI SEMBIRING NO 11,KABAN JAHE,DBM Medan,AAPR,MDA-SPJ-22001847,26/01/2022,CCM010,NATURALLE FISH OIL 1000MG (BTL/60S),BTL,36,0,6624000,27.5,0,0,0,4802400,45444,2107161,1,AZIS SYAHPUTRA (AP&RS)
348,SALES,1400320,VITA SARI.Ap,JL KAPT BANGSI SEMBIRING NO 11,KABAN JAHE,DBM Medan,AAPR,MDA-SPJ-22001847,26/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,24,0,2280000,30,0,0,0,1596000,45139,2009092,1,AZIS SYAHPUTRA (AP&RS)
349,SALES,1400320,VITA SARI.Ap,JL KAPT BANGSI SEMBIRING NO 11,KABAN JAHE,DBM Medan,AAPR,MDA-SPJ-22001847,26/01/2022,CCM016,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),BTL,72,0,6768000,20,0,0,0,5414400,45413,2106335,1,AZIS SYAHPUTRA (AP&RS)
350,SALES,1406425,DELI.Ap,JL. DELI TUA NO. 28,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001886,26/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,4,0,112000,10,0,0,0,100800,45444,2107236,1,FITRI HANDAYANI
351,RETUR,1411237,HORISAN.Ap,JL. SISINGAMANGARAJA NO. 44,P. SIANTAR,DBM Medan,AAPR,MDA-RPJ-22000343,27/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,-7,0,-665000,30,0,10,0,-3918886524,44621,1903134,1,BUDIONO (ALL SEKTOR)
352,RETUR,1411237,HORISAN.Ap,JL. SISINGAMANGARAJA NO. 44,P. SIANTAR,DBM Medan,AAPR,MDA-RPJ-22000344,27/01/2022,CCM009,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),BTL,-6,0,-672000,30,0,10,0,-395181801,44562,1901038,1,BUDIONO (ALL SEKTOR)
353,RETUR,1411237,HORISAN.Ap,JL. SISINGAMANGARAJA NO. 44,P. SIANTAR,DBM Medan,AAPR,MDA-RPJ-22000344,27/01/2022,CCM009,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),BTL,-7,0,-784000,30,0,10,0,-4610454345,44593,1902139,1,BUDIONO (ALL SEKTOR)
354,RETUR,1411237,HORISAN.Ap,JL. SISINGAMANGARAJA NO. 44,P. SIANTAR,DBM Medan,AAPR,MDA-RPJ-22000345,27/01/2022,CCM015,NATURALLE KACIP FATIMAH PLUS (BTL/60),BTL,-2,0,-160000,20,0,10,0,-108000,44621,1903341,1,BUDIONO (ALL SEKTOR)
355,RETUR,1411237,HORISAN.Ap,JL. SISINGAMANGARAJA NO. 44,P. SIANTAR,DBM Medan,AAPR,MDA-RPJ-22000347,27/01/2022,CCM014,NATURALLE TONGKAT ALI PLUS (BTL/60),BTL,-3,0,-333000,15,0,10,0,-240975,44621,1903340,1,BUDIONO (ALL SEKTOR)
356,RETUR,1407659,HARRY NA JAYA FARMA.Ap,JL. MENTENG RAYA VII NO.7,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000369,27/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,-3,0,-285000,20,0,0,0,-213272736,44621,1903134,1,"MUHAMMAD HAIRUL (TSE DUO MDN)"
357,RETUR,1409429,KASIH AGAPE.Ap,JL. JAMIN GINTING NO. 113 B SIMP. SIMALINGKAR,MEDAN,DBM Medan,AAPR,MDA-RPJ-22000379,27/01/2022,CCM008,NATURALLE VIT E 250IU (BTL/30S),BTL,-1,0,-82000,15,10,0,0,-57272.73,44562,1901438,1,"MUHAMMAD HAIRUL (TSE DUO MDN)"
358,SALES,1408732,RAFIF FARMA.Ap,JL.BESAR NAMORAMBE,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001914,27/01/2022,CCM005,CHAMPS VIT C 100MG (BTL/30),BTL,4,0,112000,10,0,0,0,100800,45444,2107236,1,FITRI HANDAYANI
359,SALES,1408732,RAFIF FARMA.Ap,JL.BESAR NAMORAMBE,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001914,27/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,1,0,94000,0,0,0,0,94000,45474,2108157,1,FITRI HANDAYANI
360,SALES,1407659,HARRY NA JAYA FARMA.Ap,JL. MENTENG RAYA VII NO.7,MEDAN,DBM Medan,AAPR,MDA-SPJ-22001925,27/01/2022,CCM011,NATURALLE GARLIC OIL 3000MG (BTL/100S),BTL,4,0,380000,20,0,0,0,304000,45139,2009092,1,FITRI HANDAYANI
361,SALES,1409254,ANDA.TO,JL. GUNUNG KRAKATAU NO. 43 C,MEDAN,DBM Medan,ATOB,MDA-SPJ-22001926,27/01/2022,CCM006,MAXITON SOFT CAP (BTL/30S),BTL,12,0,1128000,8,0,0,0,1037760,45474,2108157,1,FITRI HANDAYANI
